Sizes;NOINIT_WRITE;INIT_WRITE;NOINIT_READ;INIT_READ
489000;100.00;100.00;100.00;100.00
490000;100.00;100.00;100.00;100.00
491000;100.00;100.00;100.00;100.00
492000;100.00;100.00;100.00;100.00
493000;100.00;100.00;100.00;100.00
494000;100.00;100.00;100.00;100.00
495000;100.00;100.00;100.00;100.00
496000;100.00;100.00;100.00;100.00
497000;100.00;100.00;100.00;100.00
498000;100.00;100.00;100.00;100.00
499000;100.00;100.00;100.00;100.00
500000;100.00;100.00;100.00;100.00
501000;100.00;100.00;100.00;100.00
502000;100.00;100.00;100.00;100.00
503000;100.00;100.00;100.00;100.00
504000;100.00;100.00;100.00;100.00
505000;100.00;100.00;100.00;100.00
506000;100.00;100.00;100.00;100.00
507000;100.00;100.00;100.00;100.00
508000;100.00;100.00;100.00;100.00
509000;100.00;100.00;100.00;100.00
510000;100.00;100.00;100.00;100.00
511000;100.00;100.00;100.00;100.00
512000;100.00;100.00;100.00;100.00
513000;100.00;100.00;100.00;100.00
514000;100.00;100.00;100.00;100.00
515000;100.00;100.00;100.00;100.00
516000;100.00;100.00;100.00;100.00
517000;100.00;100.00;100.00;100.00
518000;100.00;100.00;100.00;100.00
519000;100.00;100.00;100.00;100.00
520000;100.00;100.00;100.00;100.00
521000;100.00;100.00;100.00;100.00
522000;100.00;100.00;100.00;100.00
523000;100.00;100.00;100.00;100.00
524000;100.00;100.00;100.00;100.00
525000;100.00;100.00;100.00;100.00
526000;100.00;100.00;100.00;100.00
527000;100.00;100.00;100.00;100.00
528000;100.00;100.00;100.00;100.00
529000;100.00;100.00;100.00;100.00
530000;100.00;100.00;100.00;100.00
531000;100.00;100.00;100.00;100.00
532000;100.00;100.00;100.00;100.00
533000;100.00;100.00;100.00;100.00
534000;100.00;100.00;100.00;100.00
535000;100.00;100.00;100.00;100.00
536000;100.00;100.00;100.00;100.00
537000;100.00;100.00;100.00;100.00
538000;100.00;100.00;100.00;100.00
539000;100.00;100.00;100.00;100.00
540000;100.00;100.00;100.00;100.00
541000;100.00;100.00;100.00;100.00
542000;100.00;100.00;100.00;100.00
543000;100.00;100.00;100.00;100.00
544000;100.00;100.00;100.00;100.00
545000;100.00;100.00;100.00;100.00
546000;100.00;100.00;100.00;100.00
547000;100.00;100.00;100.00;100.00
548000;100.00;100.00;100.00;100.00
549000;100.00;100.00;100.00;100.00
550000;100.00;100.00;100.00;100.00
551000;100.00;100.00;100.00;100.00
552000;100.00;100.00;100.00;100.00
553000;100.00;100.00;100.00;100.00
554000;100.00;100.00;100.00;100.00
555000;100.00;100.00;100.00;100.00
556000;100.00;100.00;100.00;100.00
557000;100.00;100.00;100.00;100.00
558000;100.00;100.00;100.00;100.00
559000;100.00;100.00;100.00;100.00
560000;100.00;100.00;100.00;100.00
561000;100.00;100.00;100.00;100.00
562000;100.00;100.00;100.00;100.00
563000;100.00;100.00;100.00;100.00
564000;100.00;100.00;100.00;100.00
565000;100.00;100.00;100.00;100.00
566000;100.00;100.00;100.00;100.00
567000;100.00;100.00;100.00;100.00
568000;100.00;100.00;100.00;100.00
569000;100.00;100.00;100.00;100.00
570000;100.00;100.00;100.00;100.00
571000;100.00;100.00;100.00;100.00
572000;100.00;100.00;100.00;100.00
573000;100.00;100.00;100.00;100.00
574000;100.00;100.00;100.00;100.00
575000;100.00;100.00;100.00;100.00
576000;100.00;100.00;100.00;100.00
577000;100.00;100.00;100.00;100.00
578000;100.00;100.00;100.00;100.00
579000;100.00;100.00;100.00;100.00
580000;100.00;100.00;100.00;100.00
581000;100.00;100.00;100.00;100.00
582000;100.00;100.00;100.00;100.00
583000;100.00;100.00;100.00;100.00
584000;100.00;100.00;100.00;100.00
585000;100.00;100.00;100.00;100.00
586000;100.00;100.00;100.00;100.00
587000;100.00;100.00;100.00;100.00
588000;100.00;100.00;100.00;100.00
589000;100.00;100.00;100.00;100.00
590000;100.00;100.00;100.00;100.00
591000;100.00;100.00;100.00;100.00
592000;100.00;100.00;100.00;100.00
593000;100.00;100.00;100.00;100.00
594000;100.00;100.00;100.00;100.00
595000;100.00;100.00;100.00;100.00
596000;100.00;100.00;100.00;100.00
597000;100.00;100.00;100.00;100.00
598000;100.00;100.00;100.00;100.00
599000;100.00;100.00;100.00;100.00
600000;100.00;100.00;100.00;100.00
601000;100.00;100.00;100.00;100.00
602000;100.00;100.00;100.00;100.00
603000;100.00;100.00;100.00;100.00
604000;100.00;100.00;100.00;100.00
605000;100.00;100.00;100.00;100.00
606000;100.00;100.00;100.00;100.00
607000;100.00;100.00;100.00;100.00
608000;100.00;100.00;100.00;100.00
609000;100.00;100.00;100.00;100.00
610000;100.00;100.00;100.00;100.00
611000;100.00;100.00;100.00;100.00
612000;100.00;100.00;100.00;100.00
613000;100.00;100.00;100.00;100.00
614000;100.00;100.00;100.00;100.00
615000;100.00;100.00;100.00;100.00
616000;100.00;100.00;100.00;100.00
617000;100.00;100.00;100.00;100.00
618000;100.00;100.00;100.00;100.00
619000;100.00;100.00;100.00;100.00
620000;100.00;100.00;100.00;100.00
621000;100.00;100.00;100.00;100.00
622000;100.00;100.00;100.00;100.00
623000;100.00;100.00;100.00;100.00
624000;100.00;100.00;100.00;100.00
625000;100.00;100.00;100.00;100.00
626000;100.00;100.00;100.00;100.00
627000;100.00;100.00;100.00;100.00
628000;100.00;100.00;100.00;100.00
629000;100.00;100.00;100.00;100.00
630000;100.00;100.00;100.00;100.00
631000;100.00;100.00;100.00;100.00
632000;100.00;100.00;100.00;100.00
633000;100.00;100.00;100.00;100.00
634000;100.00;100.00;100.00;100.00
635000;100.00;100.00;100.00;100.00
636000;100.00;100.00;100.00;100.00
637000;100.00;100.00;100.00;100.00
638000;100.00;100.00;100.00;100.00
639000;100.00;100.00;100.00;100.00
640000;100.00;100.00;100.00;100.00
641000;100.00;100.00;100.00;100.00
642000;100.00;100.00;100.00;100.00
643000;100.00;100.00;100.00;100.00
644000;100.00;100.00;100.00;100.00
645000;100.00;100.00;100.00;100.00
646000;100.00;100.00;100.00;100.00
647000;100.00;100.00;100.00;100.00
648000;100.00;100.00;100.00;100.00
649000;100.00;100.00;100.00;100.00
650000;100.00;100.00;100.00;100.00
651000;100.00;100.00;100.00;100.00
652000;100.00;100.00;100.00;100.00
653000;100.00;100.00;100.00;100.00
654000;100.00;100.00;100.00;100.00
655000;100.00;100.00;100.00;100.00
656000;100.00;100.00;100.00;100.00
657000;100.00;100.00;100.00;100.00
658000;100.00;100.00;100.00;100.00
659000;100.00;100.00;100.00;100.00
660000;100.00;100.00;100.00;100.00
661000;100.00;100.00;100.00;100.00
662000;100.00;100.00;100.00;100.00
663000;100.00;100.00;100.00;100.00
664000;100.00;100.00;100.00;100.00
665000;100.00;100.00;100.00;100.00
666000;100.00;100.00;100.00;100.00
667000;100.00;100.00;100.00;100.00
668000;100.00;100.00;100.00;100.00
669000;100.00;100.00;100.00;100.00
670000;100.00;100.00;100.00;100.00
671000;100.00;100.00;100.00;100.00
672000;100.00;100.00;100.00;100.00
673000;100.00;100.00;100.00;100.00
674000;100.00;100.00;100.00;100.00
675000;100.00;100.00;100.00;100.00
676000;100.00;100.00;100.00;100.00
677000;100.00;100.00;100.00;100.00
678000;100.00;100.00;100.00;100.00
679000;100.00;100.00;100.00;100.00
680000;100.00;100.00;100.00;100.00
681000;100.00;100.00;100.00;100.00
682000;100.00;100.00;100.00;100.00
683000;100.00;100.00;100.00;100.00
684000;100.00;100.00;100.00;100.00
685000;100.00;100.00;100.00;100.00
686000;100.00;100.00;100.00;100.00
687000;100.00;100.00;100.00;100.00
688000;100.00;100.00;100.00;100.00
689000;100.00;100.00;100.00;100.00
690000;100.00;100.00;100.00;100.00
691000;100.00;100.00;100.00;100.00
692000;100.00;100.00;100.00;100.00
693000;100.00;100.00;100.00;100.00
694000;100.00;100.00;100.00;100.00
695000;100.00;100.00;100.00;100.00
696000;100.00;100.00;100.00;100.00
697000;100.00;100.00;100.00;100.00
698000;100.00;100.00;100.00;100.00
699000;100.00;100.00;100.00;100.00
700000;100.00;100.00;100.00;100.00
701000;100.00;100.00;100.00;100.00
702000;100.00;100.00;100.00;100.00
703000;100.00;100.00;100.00;100.00
704000;100.00;100.00;100.00;100.00
705000;100.00;100.00;100.00;100.00
706000;100.00;100.00;100.00;100.00
707000;100.00;100.00;100.00;100.00
708000;100.00;100.00;100.00;100.00
709000;100.00;100.00;100.00;100.00
710000;100.00;100.00;100.00;100.00
711000;100.00;100.00;100.00;100.00
712000;100.00;100.00;100.00;100.00
713000;100.00;100.00;100.00;100.00
714000;100.00;100.00;100.00;100.00
715000;100.00;100.00;100.00;100.00
716000;100.00;100.00;100.00;100.00
717000;100.00;100.00;100.00;100.00
718000;100.00;100.00;100.00;100.00
719000;100.00;100.00;100.00;100.00
720000;100.00;100.00;100.00;100.00
721000;100.00;100.00;100.00;100.00
722000;100.00;100.00;100.00;100.00
723000;100.00;100.00;100.00;100.00
724000;100.00;100.00;100.00;100.00
725000;100.00;100.00;100.00;100.00
726000;100.00;100.00;100.00;100.00
727000;100.00;100.00;100.00;100.00
728000;100.00;100.00;100.00;100.00
729000;100.00;100.00;100.00;100.00
